"" "gene.id" "p.value" "q.value" "log.fc"
"66" "YLL039C" 2.11567197309119e-130 2.09707970423675e-128 2.22525016890977
"67" "YMR174C" 3.56527622948138e-130 3.48119956615928e-128 5.11772669894237
"68" "YBR214W" 1.05244757781927e-128 1.01251647854319e-126 2.80627301019386
"69" "YPL275W" 8.4388179964125e-128 8.00097787427979e-126 4.8246855865379
"70" "YIL101C" 7.64033392370424e-127 7.14043778983902e-125 3.90514045244665
"71" "YLR149C" 1.1151065082054e-126 1.02746856009573e-124 4.23628834216108
"72" "YMR175W" 4.82944592479055e-125 4.38808822777497e-123 9.28528291502544
"73" "YMR105C" 5.43738424813999e-123 4.87279010292216e-121 3.29056135702185
"74" "YBL064C" 4.43527114918656e-121 3.92101944026737e-119 2.57765458397299
"75" "YPL004C" 2.63475270456694e-120 2.29820695910359e-118 2.15801733138845
"76" "YOL084W" 3.98097828531487e-120 3.42678420296446e-118 3.67085241015679
"77" "YIL107C" 5.93968114348231e-120 5.04641481047549e-118 2.65630339395577
"78" "YOR348C" 1.31947386014285e-119 1.10666640936597e-117 5.06569092465656
"79" "YBL015W" 8.01923494744624e-117 6.64073861091054e-115 2.2551885596888
"80" "YLR438W" 1.22227740573119e-115 9.99517348536677e-114 3.21834229483513
"81" "YNL274C" 5.72019193820142e-114 4.61993773576712e-112 3.1014992594023
"82" "YPR184W" 5.94175746235217e-114 4.7403630876473e-112 2.63348610666293
"83" "YHR179W" 9.17032551226503e-114 7.22798427725757e-112 -2.22202333486888
"84" "YDL215C" 2.73809805213765e-113 2.13245684012911e-111 2.86788590318886
"85" "YPL092W" 2.97081445164216e-113 2.28647860501683e-111 2.60371079499265
"86" "YDL222C" 6.40904595577056e-113 4.87534635379663e-111 4.96300966715587
"87" "YBR085C-A" 8.28211112677775e-113 6.177425722724e-111 2.81930256120001
"88" "YDR070C" 8.30959131152112e-113 6.177425722724e-111 6.93049454218372
"89" "YGL147C" 2.258709164447e-109 1.66027812964183e-107 -2.06474066837976
"90" "YPR030W" 3.755970720521e-109 2.73017338373871e-107 3.03482705639053
"91" "YBL043W" 5.83829101039179e-109 4.19715382307506e-107 3.37000098853118
"92" "YFR017C" 1.03522953850321e-108 7.36138221835651e-107 4.22590831132945
"93" "YIR016W" 3.83875042037885e-108 2.7003338978622e-106 3.69164560645642
"94" "YDR343C" 8.85324902703365e-108 6.16148458881427e-106 4.80402115402765
"95" "YNL194C" 3.13314222179458e-106 2.15758067526107e-104 3.52256328140727
"96" "YMR206W" 3.93186959927139e-105 2.65332866777015e-103 5.57721879785919
"97" "YDR262W" 3.93416204178699e-105 2.65332866777015e-103 2.3958981288789
"98" "YOL052C-A" 1.07545629666458e-104 7.17921948242824e-103 7.18281239160834
"99" "YGR008C" 4.32519136783328e-102 2.85812140690558e-100 3.70069563810531
"100" "YBR149W" 4.91252882437876e-102 3.21377635690858e-100 2.11664567730099
"101" "YMR196W" 2.16320963985831e-101 1.40116014494585e-99 3.23752866276282
"102" "YLL028W" 5.98594647632855e-101 3.83922174981778e-99 -2.35919181179708
"103" "YOR120W" 9.47986032105883e-101 6.02109186605504e-99 3.61877262000724
"104" "YJR019C" 1.93196668612414e-100 1.21528135198309e-98 2.71057193321481
"105" "YML042W" 2.9843007657522e-100 1.8593614866239e-98 5.08708275722016
"106" "YJL144W" 1.07632927076028e-98 6.64277932954129e-97 4.38488108383453
"107" "YMR280C" 2.63566841890581e-96 1.61145259780204e-94 2.88303170454523
"108" "YGR236C" 2.45716283418755e-95 1.48840363530138e-93 7.68795357232998
"109" "YPR151C" 4.3253021202565e-95 2.59597490557046e-93 3.88010497334384
"110" "YAL061W" 3.50428617713879e-94 2.08409456098563e-92 3.01658094935462
"111" "YFL054C" 1.0508685515574e-90 6.19349735521486e-89 2.59744330280755
"112" "YNL200C" 1.07845772882203e-90 6.29934862674438e-89 3.04807262072283
"113" "YML131W" 1.53481230739666e-90 8.88561249114066e-89 3.42798798370311
"114" "YGR244C" 1.67641635108972e-90 9.62027699020081e-89 1.91605809143175
"115" "YLL019C" 2.45692230241261e-90 1.39766832194637e-88 2.10334291567721
"116" "YOL155C" 3.01984995628507e-90 1.70309124258767e-88 3.02466315419428
"117" "YDL110C" 8.60717108556803e-89 4.8126592514347e-87 2.48742391036835
"118" "YLR284C" 1.88784440143093e-88 1.0466337350984e-86 3.29557981091556
"119" "YBL049W" 4.13635432997977e-88 2.27395210308636e-86 4.18580892790766
"120" "YJR010W" 1.75605562332975e-87 9.57342990651936e-86 -1.79876183714091
"121" "YOR173W" 9.33702555115739e-87 5.04816703765881e-85 4.73885679472022
"122" "YOL086C" 6.53704037037383e-86 3.50535394286767e-84 -1.68023582701819
"123" "YDR342C" 8.47486597812252e-86 4.50752627877053e-84 4.72560236334016
"124" "YIL074C" 1.85179567495009e-85 9.76971556897054e-84 -1.91765894291327
"125" "YLR345W" 1.75646469218473e-84 9.19263361301802e-83 2.40195090493139
"126" "YDR216W" 8.46287839709173e-83 4.39398019633128e-81 3.52737968440705
"127" "YDR119W-A" 7.99084428909645e-81 4.11622860939126e-79 5.28441972515886
"128" "YOR289W" 1.1177011321713e-80 5.69140694700119e-79 2.8671797616214
"129" "YER001W" 1.12227376362451e-80 5.69140694700119e-79 -1.90246723095654
