"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"2078" "YKL073W" 1.78784574535123e-09 5.62853073440219e-09 -0.5661750486864 36.1922014548069
"2079" "YAL037C-B" 1.83026999815625e-09 5.75932002305828e-09 -0.803452986541509 36.1464990439494
"2080" "YMR029C" 1.85293824395876e-09 5.82784711152799e-09 0.550826721335397 36.1225121318064
"2081" "YDL112W" 1.87116883646743e-09 5.88235777422869e-09 -0.518966050109934 36.1034332473404
"2082" "YLR050C" 1.96212896166211e-09 6.16534470086145e-09 -0.711775330885352 36.0109390578518
"2083" "YDR453C" 2.03983067426096e-09 6.40641971724205e-09 1.32139009906788 35.9352658724598
"2084" "YGL020C" 2.07704901333348e-09 6.52017977218216e-09 -0.542232233740462 35.9000357848855
"2085" "YGL036W" 2.13879587115163e-09 6.71079260866858e-09 0.524720369720997 35.8429588521504
"2086" "YDR062W" 2.17275217263071e-09 6.81406745606429e-09 -0.494184881225041 35.8122698787102
"2087" "YGL006W" 2.18016895780485e-09 6.83405142403419e-09 0.568534728578807 35.8056306753382
"2088" "YEL050C" 2.24449263579234e-09 7.03231361271718e-09 -0.541024388443691 35.7489816321755
"2089" "YDR080W" 2.25674401393199e-09 7.06731418819679e-09 0.519647637278653 35.7383765201801
"2090" "YOR098C" 2.26488953073992e-09 7.08942933497634e-09 -0.476241424769514 35.7313574078242
"2091" "YPL208W" 2.34125342402178e-09 7.32495451934504e-09 -0.5746542801814 35.6667565749618
"2092" "YBR059C" 2.35447588241966e-09 7.36280173173489e-09 0.453480317105704 35.6557855652849
"2093" "YLR276C" 2.36642391638503e-09 7.39662936502192e-09 -0.497096375714345 35.645924910698
"2094" "YNL190W" 2.41250028275143e-09 7.53704720618905e-09 -0.493125265884696 35.6083595527002
"2095" "YOL151W" 2.47460434945657e-09 7.72738026450831e-09 1.0468097225493 35.558848221051
"2096" "YBR138C" 2.53847535235472e-09 7.92304663888579e-09 0.890523196366179 35.509209518287
"2097" "YMR025W" 2.55804627675736e-09 7.98032367312667e-09 1.20057374817586 35.494249656318
"2098" "YBR171W" 2.56774639833672e-09 8.00676689128638e-09 -0.563067483830593 35.4868773860596
"2099" "YLR037C" 2.59463173622593e-09 8.08674645945215e-09 2.07961213257851 35.4665888836745
"2100" "YPR185W" 2.62123992237564e-09 8.16578646294355e-09 0.530707864090966 35.44671574785
"2101" "YGL066W" 2.66519125691178e-09 8.29875354722363e-09 0.578887704629731 35.4143276249088
"2102" "YPL274W" 2.67811941068029e-09 8.33504147700783e-09 -0.488848670823517 35.4049025060643
"2103" "YNL103W" 2.68151322265601e-09 8.34163552192848e-09 0.473889476797294 35.4024358369274
"2104" "YIL145C" 2.74655051797038e-09 8.53989234247253e-09 -0.68031933692548 35.355760346863
"2105" "YOR007C" 2.76502454696629e-09 8.593249684681e-09 0.517301294874903 35.3427037816364
"2106" "YMR224C" 2.76663981969903e-09 8.59418694229395e-09 0.715529487707173 35.3415663395364
"2107" "YNL114C" 2.80176461856768e-09 8.69916665148067e-09 -0.890645948976338 35.3169952656872
"2108" "YIR024C" 2.84522969927526e-09 8.8299301198571e-09 0.822070917692538 35.2870134009307
"2109" "YAL044W-A" 3.0196309958016e-09 9.36672639854625e-09 1.35572028263085 35.1711558007582
"2110" "YER118C" 3.12409007003116e-09 9.6861598285042e-09 -0.636247923153874 35.1049291420348
"2111" "YBL079W" 3.14933201321240e-09 9.75979631948626e-09 -0.526525583526268 35.0892585927586
"2112" "YDR443C" 3.16642890855401e-09 9.808133484735e-09 0.549004110649796 35.0787158852618
"2113" "YOL041C" 3.31524298065622e-09 1.02642307522258e-08 -0.557471886632759 34.989287118945
"2114" "YHR013C" 3.31728881466647e-09 1.0265706445387e-08 -0.620988533053274 34.9880859035725
"2115" "YJR099W" 3.38487393998367e-09 1.04699032223987e-08 0.760914428090019 34.9488146866265
"2116" "YFR045W" 3.42428093046045e-09 1.05842189388539e-08 0.957596423845728 34.9262775512851
"2117" "YOR107W" 3.42506748602165e-09 1.05842189388539e-08 1.06463752918018 34.9258303630661
"2118" "YML050W" 3.4572394564847e-09 1.06785932598314e-08 0.867571069143049 34.907626897951
"2119" "YOR292C" 3.56605737557162e-09 1.10095079523311e-08 0.903331409681949 34.8472891509334
"2120" "YNL151C" 3.66555952776077e-09 1.13113634106655e-08 -0.563098989421618 34.7937093031086
"2121" "YLR143W" 3.6742634635934e-09 1.1332876746265e-08 -0.607691654961406 34.7890918965238
"2122" "YDR332W" 3.72211024739742e-09 1.14750448814674e-08 0.783426028654062 34.7639033520708
"2123" "YPR016C" 3.77448434532893e-09 1.16310299515506e-08 -0.460958442280194 34.7367005013522
"2124" "YDR054C" 3.82648921630002e-09 1.17857309100917e-08 0.530650810698805 34.7100608909198
"2125" "YLR335W" 3.85378789454085e-09 1.18642260734523e-08 -0.46040923954116 34.6962218361062
"2126" "YMR095C" 3.87582649475117e-09 1.19264613963604e-08 1.13643649941207 34.6851208063668
"2127" "YLR350W" 3.98967598028859e-09 1.22710203399379e-08 0.653025259424603 34.6287622165076
