"" "gene.id" "p.value" "q.value" "log.fc" "test.stat....voomTTbl.t"
"32" "YPR001W" 3.319270332189e-14 6.78583328536889e-12 4.5082477301387 33.7708720729632
"33" "YOR348C" 3.46131356711731e-14 6.86179192608529e-12 5.10171797993917 33.6626849216463
"34" "YHL032C" 4.31751791217502e-14 8.30486333635318e-12 2.82049870126116 33.0976024000198
"35" "YPR026W" 4.56007241419442e-14 8.30486333635318e-12 2.91912722585715 32.9593034408362
"36" "YHR179W" 4.57008682526314e-14 8.30486333635318e-12 -2.20252908053681 -32.9537645999892
"37" "YBR068C" 4.97957888526157e-14 8.80443380199492e-12 3.33922641017311 32.7378087823661
"38" "YGL156W" 5.42626112973614e-14 9.34173692387732e-12 3.95301884119938 32.5230072113761
"39" "YPR002W" 5.59284711647289e-14 9.38164252204248e-12 2.57744831509323 32.4477262680621
"40" "YBL064C" 6.06694706719865e-14 9.9224919284034e-12 2.59808407647302 32.2459989466351
"41" "YBR214W" 6.62099501845065e-14 1.05645242465132e-11 2.82418092123934 32.030703126067
"42" "YIL101C" 6.94886449223625e-14 1.06978476237362e-11 3.92274708033873 31.9122335231237
"43" "YIL107C" 7.07095202904336e-14 1.06978476237362e-11 2.67178455042547 31.8696474065334
"44" "YBR117C" 7.49864543128889e-14 1.09013640914427e-11 5.23947804653773 31.7264613139651
"45" "YBR149W" 9.60730136467827e-14 1.33725458569628e-11 2.13233201646776 31.1291649020041
"46" "YIL160C" 7.19512833146427e-14 1.06978476237362e-11 6.08556444394663 31.8271358355977
"47" "YPR184W" 1.08422690747383e-13 1.44755355687628e-11 2.64844807645186 30.8416744403147
"48" "YOL126C" 1.04748490245823e-13 1.42763463164202e-11 5.12568401684985 30.9233694184135
"49" "YDL085W" 7.87380234170275e-14 1.11979162868303e-11 5.61446318322012 31.6079118395918
"50" "YKL188C" 1.2366876823394e-13 1.55991274926536e-11 3.46242019679482 30.5318265247478
"51" "YBR026C" 1.24449435578759e-13 1.55991274926536e-11 4.37227696558206 30.5170832895252
"52" "YPL036W" 1.30440384926303e-13 1.55991274926536e-11 4.40561085943078 30.4071467570376
"53" "YOR120W" 1.35881510942409e-13 1.55991274926536e-11 3.64164650812352 30.3119033863658
"54" "YNL274C" 1.35869003596408e-13 1.55991274926536e-11 3.11368090618993 30.3121175892239
"55" "YHR092C" 1.25197137300798e-13 1.55991274926536e-11 -3.66961429902311 -30.5030555184749
"56" "YBR230C" 1.51424189362153e-13 1.65102841134534e-11 3.50545380822848 30.0609006508139
"57" "YPL004C" 1.35006169140218e-13 1.55991274926536e-11 2.1747303684181 30.3269460171423
"58" "YGL147C" 1.3717973777689e-13 1.55991274926536e-11 -2.04687696929036 -30.2897842355756
"59" "YBL015W" 1.40683051370614e-13 1.55991274926536e-11 2.27527349855716 30.2311997267197
"60" "YBR046C" 1.56846891687826e-13 1.68211863183895e-11 3.75059292538428 29.9797912743953
"61" "YDR216W" 1.66043229338495e-13 1.70376304632507e-11 3.52551650494811 29.8488954366413
"62" "YGR067C" 1.40443401924345e-13 1.55991274926536e-11 5.0785047117187 30.2351570756138
"63" "YPL092W" 1.68174568322939e-13 1.70376304632507e-11 2.62441448270933 29.8196710450871
"64" "YMR110C" 1.61087226894801e-13 1.69973006184805e-11 2.35693503466028 29.9184393243812
"65" "YIL162W" 1.69282479381121e-13 1.70376304632507e-11 2.48676168494351 29.8046364700526
"66" "YJR008W" 1.88069384488236e-13 1.86416653533643e-11 4.25523513558576 29.5646700382048
"67" "YPL222W" 2.19748028097355e-13 2.08346608668536e-11 3.36844698292713 29.2131603500284
"68" "YOR374W" 2.08412233242986e-13 2.03497437294868e-11 6.31573577297951 29.3322955938023
"69" "YGR244C" 2.17179183399316e-13 2.08346608668536e-11 1.9313580292501 29.2395697515478
"70" "YDR262W" 2.6116965262376e-13 2.40643924995019e-11 2.41860811768347 28.8279733858904
"71" "YLL041C" 2.47350663035567e-13 2.3116686251124e-11 2.57468643304799 28.9486969590127
"72" "YDR148C" 2.64962495174828e-13 2.40747867143573e-11 1.8279512086137 28.7960374484458
"73" "YBR298C" 3.06072154311731e-13 2.6697653780098e-11 2.79161459405377 28.4784474165199
"74" "YIR016W" 3.26473521179356e-13 2.81024970467809e-11 3.70773390806851 28.3374641176403
"75" "YJR010W" 2.79605743930171e-13 2.50572709149476e-11 -1.78173703202048 -28.6771908047039
"76" "YLL019C" 3.02153864680638e-13 2.6697653780098e-11 2.1218256328868 28.5066793630704
"77" "YML128C" 3.7682658194187e-13 3.20155779099183e-11 5.04029632875576 28.0264988654741
"78" "YNL014W" 5.0707429569093e-13 4.19908866127856e-11 4.62942714260638 27.3933569715202
"79" "YIL074C" 4.42056867651168e-13 3.70761029253069e-11 -1.89911888807676 -27.6842640533246
"80" "YOR173W" 5.18995498457769e-13 4.20589329505594e-11 4.75210428569054 27.3443864792179
"81" "YBL075C" 5.20754137724749e-13 4.20589329505594e-11 5.59778423795621 27.3372646852928
"82" "YFL054C" 5.88900380352491e-13 4.58641224793571e-11 2.61647978302462 27.0795736424971
"83" "YGR292W" 5.96672829722461e-13 4.59227488475804e-11 5.00937815427698 27.0522378760752
"84" "YLL026W" 5.32034808362197e-13 4.24459965403109e-11 2.68564814333461 27.2921882238739
"85" "YER131W" 5.44249338837959e-13 4.2897339453951e-11 -1.74680333994103 -27.2445238218734
"86" "YPR160W" 6.85538394642447e-13 5.21256440491932e-11 4.55566331746482 26.764424509229
"87" "YPR030W" 7.23088380920925e-13 5.31510582919628e-11 3.04404938209085 26.654663439786
"88" "YDL049C" 7.09730512442798e-13 5.27620115045544e-11 2.409560407988 26.6929925846153
"89" "YBR169C" 7.41939427541112e-13 5.39307526108217e-11 4.638382722596 26.6018472762574
"90" "YML131W" 6.93202542384562e-13 5.21256440491932e-11 3.47234348616378 26.741505314667
"91" "YJR019C" 8.17133125817043e-13 5.73978834261951e-11 2.72031500624631 26.4046367397978
"92" "YGR208W" 7.99982805540784e-13 5.68857338461719e-11 -2.10121626852871 -26.4478490095033
"93" "YNL160W" 8.49433095191961e-13 5.84946453552191e-11 4.50890893068291 26.325837046791
"94" "YER024W" 7.84046796293143e-13 5.63652103445026e-11 3.33212405834772 26.4889033055762
"95" "YNL009W" 9.17408665837458e-13 6.25175780407151e-11 4.13641503451291 26.1700287973927
"96" "YLR149C" 1.0057940282096e-12 6.68703405449636e-11 4.28664841926633 25.985036796801
"97" "YNL036W" 8.24732656995161e-13 5.73978834261951e-11 3.15217536046406 26.3857994006166
